Ticker,Company Name,Market Cap (USD),P/E Ratio,Dividend Yield,ROE,Debt,Revenue Growth,Sector,Industry,Currency
NOC,Northrop Grumman Corporation,78969995264.0,17.680662,1.73,0.26958,17052000256.0,0.051,Industrials,Aerospace & Defense,USD
COF,Capital One Financial Corporation,135902527488.0,11.72684,1.53,0.09031,48994000896.0,11.11,Financial Services,Credit Services,USD
ECL,Ecolab Inc.,79804416000.0,37.85848,1.05,0.21956,13752899584.0,0.097,Basic Materials,Specialty Chemicals,USD
EOG,"EOG Resources, Inc.",71777017856.0,10.487159,2.84,0.18195,8305999872.0,0.156,Energy,Oil & Gas E&P,USD
FDX,FedEx Corporation,73749454848.0,16.804853,1.56,0.14846,42944000000.0,0.125,Industrials,Integrated Freight & Logistics,USD
BDX,"Becton, Dickinson and Company",46626951168.0,29.532286,2.54,0.06672,17279000576.0,0.052,Healthcare,Medical Instruments & Supplies,USD
APD,"Air Products and Chemicals, Inc.",66054098944.0,,2.46,0.00023,18271199232.0,0.046,Basic Materials,Specialty Chemicals,USD
WMB,"The Williams Companies, Inc.",87884578816.0,28.625498,2.94,0.21503,30793000960.0,0.078,Energy,Oil & Gas Midstream,USD
SPG,"Simon Property Group, Inc.",85556215808.0,15.646977,3.84,1.1359,28989048832.0,0.193,Real Estate,REIT - Retail,USD
ADSK,"Autodesk, Inc.",50240958464.0,34.68586,,0.50396,2724000000.0,0.184,Technology,Software - Application,USD
RCL,Royal Caribbean Cruises Ltd.,87508983808.0,20.209698,1.57,0.44669998,23517999104.0,0.065,Consumer Cyclical,Travel Services,USD
RSG,"Republic Services, Inc.",63517253632.0,29.747837,1.19,0.18346001,14087000064.0,0.026,Industrials,Waste Management,USD
CARR,Carrier Global Corporation,54382252032.0,46.767857,1.46,0.08966,12394000384.0,0.039,Industrials,Building Products & Equipment,USD
CSX,CSX Corporation,94578106368.0,30.032352,1.11,0.24357,19451000832.0,0.101,Industrials,Railroads,USD
HLT,Hilton Worldwide Holdings Inc.,72522670080.0,48.382885,0.19,,14023000064.0,0.025,Consumer Cyclical,Lodging,USD
DLR,"Digital Realty Trust, Inc.",73233661952.0,246.32912,2.59,0.02912,20074991616.0,0.299,Real Estate,REIT - Specialty,USD
TGT,Target Corporation,67034062848.0,19.496696,3.21,0.22015,19271999488.0,0.067,Consumer Defensive,Discount Stores,USD
KMI,"Kinder Morgan, Inc.",69269954560.0,20.087097,3.76,0.109910004,32425000960.0,0.108,Energy,Oil & Gas Midstream,USD
OKE,"ONEOK, Inc.",54828609536.0,15.967891,4.88,0.15903,33652000768.0,0.196,Energy,Oil & Gas Midstream,USD
TFC,Truist Financial Corporation,64599597056.0,12.1563225,4.01,0.09059,73295003648.0,0.082,Financial Services,Banks - Regional,USD
AFL,Aflac Incorporated,63633289216.0,14.386652,1.93,0.16469,14464000000.0,0.279,Financial Services,Insurance - Life,USD
GM,General Motors Company,80554975232.0,39.76116,0.81,0.03164,128771997696.0,0.019,Consumer Cyclical,Auto Manufacturers,USD
BK,N/A,,,,,,,N/A,N/A,USD
ROP,"Roper Technologies, Inc.",38861119488.0,16.372084,0.93,0.13066,11319400448.0,0.085,Technology,Software - Application,USD
MET,"MetLife, Inc.",62014435328.0,18.606178,2.47,0.13014,49491001344.0,0.027,Financial Services,Insurance - Life,USD
CPRT,"Copart, Inc.",27695116288.0,17.857143,,0.17607,93116000.0,0.021,Industrials,Specialty Business Services,USD
FCX,Freeport-McMoRan Inc.,97775992832.0,34.235294,0.96,0.14755,10359000064.0,-0.073,Basic Materials,Copper,USD
CVS,CVS Health Corporation,127158919168.0,43.71053,2.55,0.037520003,78345003008.0,0.061,Healthcare,Healthcare Plans,USD
PCAR,PACCAR Inc,70390784000.0,28.272726,1.03,0.12755999,14816300032.0,0.005,Industrials,Farm & Heavy Construction Machinery,USD
SRE,Sempra,55327178752.0,28.787756,2.97,0.05689,36432998400.0,-0.039,Utilities,Utilities - Diversified,USD
AZO,"AutoZone, Inc.",49887674368.0,21.201971,,,13086533632.0,0.084,Consumer Cyclical,Auto Parts,USD
